Keyword	formatted_address	geometry	name	place_id	rating	user_ratings_total	Longitude	Latitude
Souterrains de la citadelle de Laon, Laon, France	Place du Parvis Gaultier de Mortagne, 02000 Laon, France	{'location': {'lat': 49.564236, 'lng': 3.6239607}, 'viewport': {'northeast': {'lat': 49.56559472989272, 'lng': 3.625208229892722}, 'southwest': {'lat': 49.56289507010728, 'lng': 3.622508570107278}}}	Office de Tourisme du Pays de Laon	ChIJqW4xn0RL6EcRVmgmk9ExXlw	4.3	143	3.6239607	49.564236
Souterrains de la citadelle de Laon, Laon, France	Allée Jean Martinot &, Prom. de la Citadelle, 02000 Laon, France	{'location': {'lat': 49.563538, 'lng': 3.629837}, 'viewport': {'northeast': {'lat': 49.56487532989272, 'lng': 3.631230879892722}, 'southwest': {'lat': 49.56217567010728, 'lng': 3.628531220107278}}}	Souterrains de Laon, secrets sous la ville	ChIJnQ9ODNpL6EcR5xrB8jm8dLc	4.4	5	3.629837	49.563538
Parc des oiseaux de Villars les Dombes, Villars les Dombes, France	D1083, 01330 Villars-les-Dombes, France	{'location': {'lat': 45.99175899999999, 'lng': 5.0259662}, 'viewport': {'northeast': {'lat': 45.99315797989273, 'lng': 5.027291729892722}, 'southwest': {'lat': 45.99045832010728, 'lng': 5.024592070107278}}}	Parc des Oiseaux	ChIJ8YIHsEmk9EcRGkPEM24h8l0	4.5	4241	5.0259662	45.99175899999999
Centre national du costume de scène de Moulins, Moulins, France	Quartier Villars, Route de Montilly, 03000 Moulins, France	{'location': {'lat': 46.561356, 'lng': 3.318633}, 'viewport': {'northeast': {'lat': 46.56270582989271, 'lng': 3.319982829892721}, 'southwest': {'lat': 46.56000617010727, 'lng': 3.317283170107276}}}	Centre national du costume de scène	ChIJW92AM8sd8UcRWKWhcs4h7gs	4.5	1604	3.318633	46.561356
Musée Traditions et Vie Apoticairerie, Châtillon sur Chalaronne, France	15 Place Saint-Vincent de Paul, 01400 Châtillon-sur-Chalaronne, France	{'location': {'lat': 46.1185757, 'lng': 4.9549869}, 'viewport': {'northeast': {'lat': 46.11994282989272, 'lng': 4.956361179892722}, 'southwest': {'lat': 46.11724317010727, 'lng': 4.953661520107278}}}	Hospice de Châtillon-sur-Chalaronne	ChIJPzlZ0epf80cRdtHJjLtBda0	4.2	40	4.9549869	46.1185757
La plaine tonique à Montrevel-en-Bresse, Montrevel en Bresse, France	599 Route d'Etrez, 01340 Malafretaz, France	{'location': {'lat': 46.338823, 'lng': 5.136574}, 'viewport': {'northeast': {'lat': 46.34016472989272, 'lng': 5.13797037989272}, 'southwest': {'lat': 46.33746507010728, 'lng': 5.135270720107276}}}	Camping et Base de loisirs La Plaine Tonique	ChIJt7cychNG80cRu-LmcgE03xw	4	419	5.136574	46.338823
La plaine tonique à Montrevel-en-Bresse, Montrevel en Bresse, France	La Plaine Tonique, 01340 Malafretaz, France	{'location': {'lat': 46.3412879, 'lng': 5.138275999999999}, 'viewport': {'northeast': {'lat': 46.344278, 'lng': 5.140314829892722}, 'southwest': {'lat': 46.3402748, 'lng': 5.137615170107278}}}	La Plaine Tonique	ChIJqcSjXBhG80cR-8O2FyY4aOU	4	91	5.138275999999999	46.3412879
MuPop à Montluçon, Montluçon, France	3 Rue Notre Dame, 03100 Montluçon, France	{'location': {'lat': 46.3409248, 'lng': 2.6054845}, 'viewport': {'northeast': {'lat': 46.34224082989272, 'lng': 2.606912479892722}, 'southwest': {'lat': 46.33954117010727, 'lng': 2.604212820107278}}}	Musée des Musiques Populaires	ChIJW1Rc_Nyn8EcRYV-nYplnAR4	4.6	427	2.6054845	46.3409248
MuPop à Montluçon, Montluçon, France	Passage du Darot, 03100 Montluçon, France	{'location': {'lat': 46.3390545, 'lng': 2.6036686}, 'viewport': {'northeast': {'lat': 46.34037332989271, 'lng': 2.604957379892723}, 'southwest': {'lat': 46.33767367010727, 'lng': 2.602257720107278}}}	J4 - MuPOP	ChIJlfFitt2n8EcRQcU_FIm745Y	0.0	0	2.6036686	46.3390545
CERN de Saint Genis Pouilly, Saint Genis Pouilly, France	01630 Saint-Genis-Pouilly, France	{'location': {'lat': 46.2372661, 'lng': 6.0389781}, 'viewport': {'northeast': {'lat': 46.23842512989272, 'lng': 6.040247429892721}, 'southwest': {'lat': 46.23572547010728, 'lng': 6.037547770107278}}}	CERN Bâtiment 180	ChIJnQRjhvRijEcRU828jSEGI_c	4.6	33	6.0389781	46.2372661
